video_id,video_title,user_id,author_name,comment_text,timestamp,like_count,label
E20v9NSpYyo,KUMPULAN MAXWIN OLYMPUS TERBARU HARI INI 💰 BANG KIBO REACTION 🚀 POLA GACOR OLYMPUS HARI INI,UCgMARYInlTVdc2FwBMtBbyQ,@Memeyy-y1b,🚀ini di JEPOR98 ya?,2025-11-26T12:42:29Z,4,
-58ufBw9LGc,ANDALAN NAIK TINGGI⁉️POLA GACOR OLYMPUS HARI INI ✨ POLA OLYMPUS HARI INI 📌 POLA GACOR HARI INI,UCAYk94kflmV0pCWZqNlYCKA,@HendraPutra-k9n,"PANGKALAN TEMPOER
📌BROJP📌",2025-11-26T13:01:26Z,56,
Ggi1biVPoyk,MENDINGAN PUTUS KETUA⁉️ POLA GACOR OLYMPUS HARI INI 📌 POLA OLYMPUS HARI INI ✅ POLA GACOR HARI INI,UCxusoLt2LhJh6tB8PUU-GZA,@Renokdi_oficial07,Main dmn bg Jon,2025-11-25T12:28:13Z,1,
Ggi1biVPoyk,MENDINGAN PUTUS KETUA⁉️ POLA GACOR OLYMPUS HARI INI 📌 POLA OLYMPUS HARI INI ✅ POLA GACOR HARI INI,UCzG9H6t2zS2vZxw4mC2ppXA,@CaessarOlenn,"📝GELAY88📝, Tempat Ngopi Bang Jon Ya Gaesss !!",2025-11-25T12:32:51Z,4,
61aya0ofnLk,KUMPULAN MAXWIN OLYMPUS TERBARU HARI INI 📌 BANG PABLO REACTION 💰 POLA GACOR OLYMPUS HARI INI,UC7bGM62N5RBYnMjppzl9F4A,@bocahedanedan-p7w,BO-177,2025-11-26T10:44:46Z,0,
7mUubM_5FAE,SEMUA TERLIBAS HABIS  !! POLA GACOR OLYMPUS HARI INI 📌 POLA OLYMPUS HARI INI 🍭 POLA GACOR HARI INI,UCgQouasd3ozdTBiCIBsaY_w,@diamondhands5800,🎉BO-177🎉,2025-11-26T16:04:22Z,1,
0xxi4TFxlg8,BUKAN MAEN ⁉️ POLA MAHJONG WAYS 1 HARI INI 🎉 TRIK POLA GACOR MAHJONG WAYS 1 💥 POLA MAHJONG WAYS 1,UCi5jc3L63lO0OXJGVjnR5qw,@samsulsul-b3b,Bukan maen dah Obs188 mah,2025-11-26T13:23:47Z,6,
pa8NPSiDRNA,KENYANG SCTR ⁉️ POLA MAHJONG WAYS 2 HARI INI 💣 TRIK POLA GACOR MAHJONG WAYS 2 💰 MAHJONG WAYS 2,UC3elWohM28oC_pCie3j5EvQ,@WillyStarkk,Tempat🎉Jp188🎉biar kenyangg,2025-11-25T10:34:13Z,6,
-awmaxZy8Q0,BUNGKUS L4GI 325JT! POLA MAHJONG WAYS 2 HARI INI 📌TRIK POLA GACOR MAHJONG WAYS 2⚡️MAHJONG WAYS 2,UCEGIPzzfGK-WqDg4GW09MPQ,@KingAbud-y7m,Masih di arena tempur ✍️Monet-11✍️ ya bg Acil ?,2025-11-26T12:17:18Z,8,
C3tT7tjoqg0,Bukti Kerja Admin Slot Setting Kalah Pemain | Admin Kunci Akun Pemain Agar Rungkad | Korban Slot,UCQCgV2BCo3657bSzhD7_pUg,@berdoapagihari367,"Tempat Main 📌 *_DEWARECEH_* 📌

 📞📞📞☎☎ https://heylink.me/BocoranAdminFajar/",2023-07-01T19:36:34Z,0,
wpnBcKk4NQs,MENDAPATKAN PENCERAHAN⁉️ POLA MAHJONG WAYS 2 HARI INI ✨ POLA GACOR MAHJONG WAYS 2 ✨ MAHJONG WAYS 2 ✨,UC0esiMycdROdd_bssQ06kmA,@surippirop565,"👇RUMAH RAMAH LINGKUNGAN👇
✨ BADUT69✨ yaaa",2025-11-21T05:00:29Z,0,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCStZHKJdFRj76-oXgeyENgg,@bortherhoodue8e,Nice demo mate,2025-10-24T15:56:12Z,2,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCT5jT_S31O53xIMYaMOWrjg,@dudumartins7114,Saiu no prejuízo com 100x na primeira rodada 😂😂,2025-10-25T14:05:16Z,1,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCoUGbknHdnKoQjRi8b5Ilqg,@PgxPubg,Not real game win ❌😂😂,2025-10-24T18:24:42Z,14,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCaloLXdJ9fA07Lm_l-1syUw,@babybluez8987,Jauhi yang namanya judi online kawan percayalah ❤,2025-11-09T09:17:33Z,1,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCBy18Q6vio0ylE3lw2vaNMA,@EmpatbelasSeptmber,Harusnya ada pemblokiran yang buat iklan slot.,2025-11-15T13:39:06Z,0,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCseknZjH1uyl9QaIZBSWRpA,@mahadibd6549,Real game All time los😂😂😂 Big Amount my Loss😢😢😢,2025-10-25T14:56:59Z,0,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UC1M6R5kwpUaqBmwnfpy_nGg,@musikchanel6550,Jangan pernah kalian maen di sitau fg king,2025-11-18T08:24:49Z,0,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UC4I7ZpEP64XL3jnm_YZJcgg,@Citra-andini,Demo,2025-11-19T07:41:57Z,0,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCoAQreWMO4Jnc8WZpbaYfwg,@RusmiyatiMunong,Apa situsnya ini bang,2025-10-24T15:27:33Z,2,
Iza24IvE28c,GATES OF OLYMPUS SUPER SCATTER EPIC WIN HIT 100X HUGE WIN BONUS BUY ONLINE CASINO ONLINE SLOT,UCS5wSDaLIOoGdJYMBEAQsQA,@cellphona123,Demo game,2025-10-30T01:56:28Z,1,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCHFz3F_wTBHhOMqTTlAeNTA,@TheBigJackpot,What is the biggest bet you have ever seen?,2024-08-04T20:01:41Z,43,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCvC7l8jl6dHG9exWCKhfrBg,@seanb8809,"Should have been titled, “How to turn $15K into $10K in seconds.”",2024-08-04T21:25:45Z,566,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCi4S07CoRRtTfKFwCjemhIw,@RobWorld-w1i,He bet 15k and won 10.3k . That's a 4.7 thousand dollar loss. Some people cant see past the glitz and glamor,2024-08-08T03:47:41Z,100,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCRXHRHYB6ljDRBeEa36C-Rg,@daniellucas9130,"Man, that lost money would pay many bills for me",2024-08-11T02:49:54Z,33,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UC0f6UnYVfFnSReMmgteGLNQ,@toksik5242,At least @VegasMatt won 120$ off his 15k bet lol,2024-08-05T00:23:50Z,62,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCHPCIdESpMPA6aWfxncuUDA,@garym4190,"That's insane 😳 
Mega high roller ❤",2024-08-05T08:27:48Z,12,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCktRjmQukDR5po4BXRfj-XA,@reelrob,Hand pay on a 5k loss is wild,2024-08-08T04:34:55Z,12,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCuxr72fFAK4Id1gbn_i9p3g,@RapGameRyan,Thank you for speeding it up! Way way better!,2024-08-08T08:06:45Z,1,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UC4puTROglS5-szxJ--nGjLQ,@Mitjitsu,Turns $15k into a little over $10k in mere seconds.,2024-09-05T15:26:14Z,5,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCkCyXSRqEBxc_ueyum4mGYw,@bennythamacsjourney4774,That was epic to watch though ! U r a slot god Raja 🕺🕺🕺🙌🏿🙌🏿🙌🏿,2024-08-05T01:45:58Z,4,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCW79L3tDOZ6JXSg9YtS0pgg,@valerienaylor1069,Wow awesome win congratulations 👏👏🎉🎉,2024-08-06T05:16:00Z,9,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCwzhk7gHgmWRHwuO5lh9_ng,@kobejoe164,Watching from Saskatoon Saskatchewan ❤ raja 🎉🎉🎉,2024-08-07T07:18:12Z,2,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCLVSFTPwv8Yr3kFKllR7scA,@merelberlee381,Allen Kessler has stole the jackpot haha,2024-08-05T11:12:11Z,2,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UC4rX8Kp5wB5dRL9vezpRUuA,@stefbmx,Good Luck Raja Boom Boom Boom Boom Boom Boom Boom 💣💣💣💰💰💰💰💰💰💰💰💰🎰🇺🇲💯,2024-08-04T20:24:34Z,3,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCGR_9l0CvbFiTq1chkUMlSg,@WinningJesse,What a great win 🥇 😂😂,2024-11-07T04:29:58Z,1,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCC2voCt_Gl0-ZT9lJmDXfQA,@keche671,Wow..that's awesome 🎉🎉,2024-09-03T14:23:36Z,1,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UChFQ1SldnRyNetFT0FzFN7Q,@lukedoca,"i wish a man like this could help me out 😩 15k would stem so many opportunities, at the moment me and my family are stuck in limbo, what i make covers what we need to live",2024-09-21T17:54:11Z,1,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCy5q_I9A1Xjd3gjiton05bw,@JohnSmith-ti9uq,Anything more than a dollar on slots is insane.,2024-10-23T17:48:44Z,1,
PH7vohSXpBA,"BUYING $15,000 BONUS FEATURE LIVE! #slots #jackpot #casino",UCmThlKBAqc6cduWLP9U9a0g,@franklarkin5282,"Love your videos, just watched Vegas Matt play this game,  he got 15,142. Lol",2024-08-08T22:28:30Z,2,
