video_id;video_title;user_id;author_name;comment_text;timestamp;like_count;label
IaoPWD4I9JM;SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha;UCNUUAUEcUrFwQNQ0GUzm3CQ;@RanduAidanu-c1q;Ga masuk, kacau bet arensemen nya .;2025-11-26T16:32:25Z;0;0
IaoPWD4I9JM;SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha;UCW24Ji9XTp-ubvtbsmHqZNg;@haveaniceday31;keren bet mau nangessssss;2025-11-26T00:15:16Z;0;0
IaoPWD4I9JM;SING-OFF TIKTOK SONGS 25 (Multo, Tor Monitor Ketua, Manchild) vs @EltasyaNatasha;UC2Lx-7tmixBun8fuOE3erzA;@munawirulhadi2566;Ga ada emang yang ngalahin suara Eltasya gacor abis;2025-11-25T19:11:35Z;0;0
Fpw1QqCjAHg;FULL TRAILER CINTA SEDALAM RINDU RABU 26 NOVEMBER || Pak Omar Dan Bu Novi Akui Aluna Sebagai Anaknya;UC-E7AcCJlJWimU84RQUkpEQ;@akunbarub5983;Kasihan galaksi,koq dipukulin,sebetulnya ,galaksi tdk salah dia msh kecil.tolong pk sud jangan pisahkan gakaksi dan aluna..;2025-11-27T01:09:43Z;0;0
Fpw1QqCjAHg;FULL TRAILER CINTA SEDALAM RINDU RABU 26 NOVEMBER || Pak Omar Dan Bu Novi Akui Aluna Sebagai Anaknya;UCXZkiOIQ4Cn09uWxBHplKSA;@BikenFlora;buset situsPU L AU 7 7 7 Pusing Gegara gw absi menang gedeee;2025-11-26T10:42:36Z;0;1
Fpw1QqCjAHg;FULL TRAILER CINTA SEDALAM RINDU RABU 26 NOVEMBER || Pak Omar Dan Bu Novi Akui Aluna Sebagai Anaknya;UCtxjfI2V2FSl2ECPempRKrA;@RukMini-c5x;Ezra gila  luu benci bet gua;2025-11-26T10:31:16Z;2;0
Fpw1QqCjAHg;FULL TRAILER CINTA SEDALAM RINDU RABU 26 NOVEMBER || Pak Omar Dan Bu Novi Akui Aluna Sebagai Anaknya;UCGGmVTowCxw3fDZPFRLUYnA;@SitiMaryam-u7n2o;Ribet ceritanya;2025-11-26T08:35:19Z;0;0
4f1O7nMg_fY;NGESMURF DI MABAR VIP JEJE ADRIEL!! GINI RASANYA KESENJANGAN TIER EPIC DI LOBI IMMO :(;UC86nQOBZ3EHKvs2sLwz-YUg;@GraciaViola-k5m;lebih baik perbanyak konten gini .. lebih menghibur ..jadi betah sampai habis nontonnya..;2025-11-27T01:17:06Z;0;0
4f1O7nMg_fY;NGESMURF DI MABAR VIP JEJE ADRIEL!! GINI RASANYA KESENJANGAN TIER EPIC DI LOBI IMMO :(;UC-ssBfD8LwK6tqLhkBEjZfQ;@mr.j1780;itu dia bang.. begitu la rasa nya bila lu bkn siapa² bang.. btw jeje sombong bet...;2025-11-26T20:57:01Z;1;0
4f1O7nMg_fY;NGESMURF DI MABAR VIP JEJE ADRIEL!! GINI RASANYA KESENJANGAN TIER EPIC DI LOBI IMMO :(;UC9w6thGPuH_W6gsbhNFHQ7Q;@swaggerwarus;bukannya sombng  . lu nya aja yang aneh . mo maen aja ribet bacot hh;2025-11-26T13:17:50Z;0;0
-zK4XTcHCpw;Disekap Kayak Game Granny - Jeff The Killer Indonesia;UCUAZMRPQSoa17fAnQH3zdFw;@SurUga-d7v8o;Bang lanjut normal bang seru bet bang;2025-11-26T13:04:21Z;0;0
-zK4XTcHCpw;Disekap Kayak Game Granny - Jeff The Killer Indonesia;UCQlvRHe1cAz-ep-3uqPyZjw;@RikatSuu_Id;39:47 kak regie ga ngeh kah?? jeff nya ngintip kek gitu jelas bet pdhl;2025-11-26T12:13:58Z;3;0
ES9oYbzYCh8;ILLIT (아일릿) 'NOT CUTE ANYMORE’ Performance Film;UCvgF2dcvsyp8UUyEhUg9BdQ;@naveenson1183;new jeans better;2025-11-27T00:52:46Z;0;0
